#;Type;Category;Bezeichnung (Topic) DE;Bezeichnung (Topic) EN;Variable Downlink Encoder;Header Downlink (Hex);Register Number Modbus;Modbus Protocol Address Decimal;Infotext Deutsch;Infotext Englisch;Wertebereich;Min ;Max;Res
1;Configuration;Valve;Typ 6-Wege Ventil;Type 6 Way-Valve;type_6_way_valve;3;3;2;Typen des 6-Wege Ventils konfigurieren. Wert gemäß Ventiltypentabelle eingeben.;Configure 6-way valve type. Enter value according to valve type table.;0…31;0;31;1
2;Configuration;General;Vorgabe Sprache;Language Setting;language;4;4;3;Gerätesprache einstellen. 0 = Deutsch, 1 = Englisch;Set device language. 0 = German, 1 = English;0...1;0;1;1
3;Configuration;Offset;Offset interner Sensor;Internal Sensor Offset;offset_internal;5;5;4;Korrekturwert für den internen Sensor in 0,1 K Schritten ;Correction value for the internal sensor in 0.1 K steps;-15...+15;-15;15;0.1
4;Configuration;Offset;Offset externer Sensor;External Sensor Offset;offset_external;6;6;5;Korrekturwert für den externen Sensor in 0,1 K Schritten;Correction value for the external sensor in 0.1 K steps;-15...+15;-15;15;0.1
5;Configuration;Display;Einheit Temperatur;Temperature Unit;unit_temperature;7;7;6;Anzeigeeinheit für Temperatur. 0 = Celsius (°C), 1 = Fahrenheit (°F).;Display unit for temperature. 0 = Celsius (°C), 1 = Fahrenheit (°F).;1…2;1;2;1
6;Configuration;Display;Format Uhrzeit;Time Format;format_time;8;8;7;Uhrzeitformat wählen. 0 = 24-Stunden-Format, 64 = 12-Stunden-Format (AM/PM), 255=keine Anzeige;Select time format. 0 = 24-hour format, 64 = 12-hour format (AM/PM), 255=no display;0…255;0;255;1
7;Configuration;Display;Format Datum;Date Format;format_date;9;9;8;Datumsformat wählen. 0 = TT.MM.JJ, 64 = JJ/MM/TT, 255 =keine Anzeige;Select date format. 0 = DD.MM.YYYY, 64 = JJ/MM/TT, 255=no display;0…255;0;255;1
8;Configuration;Fan;Anzahl Lüfterstufen;Number of Fan Levels;fan_stages_count;A;10;9;Anzahl der verfügbaren Relaislüfterstufen eingeben;Enter number of relay available fan levels;0…3;0;3;1
9;Configuration;Display;Anzeige Hauptbildschirm;Main Display;display_main_screen;B;11;10;Informationen für den Hauptbildschirm festlegen. 0 = Raumtemperatur, 1 = Abslout Sollwert, 2 = Sollwert Offset,…5=Sollwert Offset ohne Einheit);Set information for the main screen. 0 = Room temperature, 1 = Absolute setpoint, 2 = Setpoint offset,…5 = Setpoint offset without units);0…6;0;6;1
10;Configuration;Footer;Fußzeile Symbol 1;Footer Symbol 1;symbol_1_footer;C;12;11;Symbol für die erste Position in der Fußzeile. Wert gemäß Symboltabelle eingeben.;Symbol for the first footer position. Enter value according to symbol table.;0…5;0;5;1
11;Configuration;Footer;Fußzeile Symbol 2;Footer Symbol 2;symbol_2_footer;D;13;12;Symbol für die zweite Position in der Fußzeile. Wert gemäß Symboltabelle eingeben.;Symbol for the second footer position. Enter value according to symbol table.;0…5;0;5;1
12;Configuration;Footer;Fußzeile Symbol 3;Footer Symbol 3;symbol_3_footer;E;14;13;Symbol für die dritte Position in der Fußzeile. Wert gemäß Symboltabelle eingeben.;Symbol for the third footer position. Enter value according to symbol table.;0…5;0;5;1
13;Configuration;Footer;Fußzeile Symbol 4;Footer Symbol 4;symbol_4_footer;F;15;14;Symbol für die vierte Position in der Fußzeile. Wert gemäß Symboltabelle eingeben.;Symbol for the fourth footer position. Enter value according to symbol table.;0…5;0;5;1
14;Configuration;Footer;Fußzeile Symbol 5;Footer Symbol 5;symbol_5_footer;10;16;15;Symbol für die fünfte Position in der Fußzeile. Wert gemäß Symboltabelle eingeben.;Symbol for the fifth footer position. Enter value according to symbol table.;0…5;0;5;1
15;Configuration;Input;Konfiguration Eingang 1;Configuration Input 1;config_input_1;13;19;18;Funktion von Eingang 1 festlegen. Wert gemäß Eingangskonfigurationstabelle eingeben (0=Nicht verwendet,..);Define function of input 1. Enter value according to input configuration table. (0=not used,…);0…53;0;53;1
16;Configuration;Input;Konfiguration Eingang 2;Configuration Input 2;config_input_2;14;20;19;Funktion von Eingang 2 festlegen. Wert gemäß Eingangskonfigurationstabelle eingeben. (0=Nicht verwendet,..);Define function of input 2. Enter value according to input configuration table.( 0=not used,…);0…53;0;53;1
17;Configuration;Fan;Zuordnung Lüfterstufen;Assingment Fan-Stages;fan_stage_assignment;63;99;98;Zuordnung der Lüfterstufen zu den Ausgängen konfigurieren. (0=Heizen/Kühlen, 1=Heizen, 2=Kühlen);Configure assignment of fan stages to outputs. (0=Heating/Cooling, 1=Heating, 2=Cooling);0…2;0;2;1
18;Configuration;Controller;Funktion Regler Heizen;Controller function heating;function_ctrl_heating;6D;109;108;"Reglerfunktion für den Heizbetrieb festlegen. (0=Pi-Regler; 1= 2-Punkt)";"Define controller function for heating mode. (0=Pi; 1= 2-Point)";0…1;0;1;1
